Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province
2.39,61.0,4.0,5.0,3.0,5.0,4.0,yes,yes,Quận 1, Hồ Chí Minh
19.0,61.2,1.0,1.0,1.0,1.5,5.0,yes,yes,Hai Bà Trưng, Hà Nội
8.2,34.0,5.0,5.0,4.0,3.0,5.0,yes,yes,Quận 1, Hồ Chí Minh
8.0,54.0,4.0,5.0,4.0,7.0,4.1,yes,yes,Bình Tân, Hồ Chí Minh
5.6,56.0,3.0,3.0,2.0,4.0,4.0,yes,yes,Quận 12, Hồ Chí Minh
6.7,45.0,3.0,4.0,5.0,3.0,4.0,yes,yes,Long Biên, Hà Nội
8.0,60.0,4.0,4.0,4.0,10.0,4.0,yes,yes,Hoàng Mai, Hà Nội
8.9,60.0,5.0,3.0,4.0,3.5,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.0,33.0,4.0,5.0,5.0,3.11,4.0,yes,yes,Long Biên, Hà Nội
15.8,75.0,4.0,3.0,4.0,5.0,5.35,yes,yes,Long Biên, Hà Nội
5.5,30.3,3.0,3.0,4.0,3.0,4.0,yes,yes,Hai Bà Trưng, Hà Nội
4.5,60.0,3.0,4.0,3.0,12.0,4.0,yes,yes,Dĩ An, Bình Dương
12.6,40.0,5.0,6.0,6.0,6.0,5.0,yes,yes,Đống Đa, Hà Nội
3.49,63.0,4.0,3.0,3.0,3.0,4.0,yes,yes,Chương Mỹ, Hà Nội
8.95,50.0,5.0,6.0,4.0,5.0,4.0,yes,yes,Bình Thạnh, Hồ Chí Minh
5.3,33.2,4.0,3.0,4.0,2.4,4.0,yes,yes,Thanh Trì, Hà Nội
4.45,33.0,3.0,3.0,3.0,3.5,3.0,yes,yes,Gò Vấp, Hồ Chí Minh
13.3,73.0,7.0,7.0,5.0,6.0,6.0,yes,yes,Tân Bình, Hồ Chí Minh
6.6,30.0,3.0,4.0,5.0,2.0,4.0,yes,yes,Cầu Giấy, Hà Nội
4.4,55.0,2.0,2.0,1.0,6.0,5.0,yes,yes,Tân Phú, Hồ Chí Minh
21.5,58.0,6.0,6.0,7.0,6.0,5.0,yes,yes,Tây Hồ, Hà Nội
7.9,43.6,2.0,2.0,2.0,6.0,3.0,yes,yes,Quận 4, Hồ Chí Minh
3.55,100.0,4.0,4.0,2.0,5.5,5.0,yes,no,Liên Chiểu, Đà Nẵng
5.3,33.2,4.0,3.0,4.0,2.4,4.0,yes,yes,Thanh Trì, Hà Nội
8.95,50.0,5.0,6.0,4.0,5.0,4.0,yes,yes,Bình Thạnh, Hồ Chí Minh
7.2,40.0,3.0,4.0,4.0,5.0,4.0,yes,yes,Gò Vấp, Hồ Chí Minh
6.5,52.8,1.0,1.0,1.0,7.0,4.0,yes,yes,Thủ Đức, Hồ Chí Minh
11.5,48.0,4.0,3.0,4.0,3.0,3.4,yes,yes,Đống Đa, Hà Nội
4.55,100.0,3.0,2.0,2.0,7.5,5.0,yes,yes,Ngũ Hành Sơn, Đà Nẵng
5.79,44.6,3.0,3.0,2.0,3.5,4.0,yes,yes,Quận 7, Hồ Chí Minh
20.0,80.0,4.0,3.0,4.0,8.0,5.3,yes,yes,Đông Anh, Hà Nội
8.95,46.0,4.0,5.0,6.0,2.8,6.2,yes,yes,Long Biên, Hà Nội
9.0,60.0,4.0,3.0,3.0,6.0,4.8,yes,yes,Long Biên, Hà Nội
5.85,31.0,3.0,3.0,5.0,6.0,4.0,yes,no,Hoàng Mai, Hà Nội
7.5,40.0,5.0,4.0,5.0,8.0,3.9,yes,no,Thanh Trì, Hà Nội
8.45,83.0,2.0,1.0,1.0,6.0,4.0,yes,no,Tân Bình, Hồ Chí Minh
5.8,76.4,2.0,1.0,1.0,2.0,6.0,no,yes,Nam Từ Liêm, Hà Nội
11.8,48.0,4.0,5.0,5.0,5.0,4.0,yes,yes,Phú Nhuận, Hồ Chí Minh
8.2,65.0,4.0,5.0,3.0,5.0,6.2,yes,yes,Tân Bình, Hồ Chí Minh
13.8,73.0,6.0,7.0,5.0,3.0,4.1,yes,yes,Hoàng Mai, Hà Nội
6.38,80.0,3.0,4.0,4.0,10.0,4.0,yes,yes,Thủ Đức, Hồ Chí Minh
