Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,District,Province,Population,DistrictArea,CommuneCount,CommuneDensity,Distribute
2.39,61.0,4.0,5.0,3.0,5.0,4.0,yes,yes,quận 1,hồ chí minh,142625.0,7.7,10.0,1.3,18.523
19.0,61.2,1.0,1.0,1.0,1.5,5.0,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,1.46,29.474
8.2,34.0,5.0,5.0,4.0,3.0,5.0,yes,yes,quận 1,hồ chí minh,142625.0,7.7,10.0,1.3,18.523
8.0,54.0,4.0,5.0,4.0,7.0,4.1,yes,yes,bình tân,hồ chí minh,784173.0,51.9,10.0,0.19,15.109
5.6,56.0,3.0,3.0,2.0,4.0,4.0,yes,yes,quận 12,hồ chí minh,620146.0,52.8,11.0,0.21,11.745
6.7,45.0,3.0,4.0,5.0,3.0,4.0,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
8.0,60.0,4.0,4.0,4.0,10.0,4.0,yes,yes,hoàng mai,hà nội,506347.0,40.3,14.0,0.35,12.564
8.9,60.0,5.0,3.0,4.0,3.5,4.0,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,0.61,34.360
6.0,33.0,4.0,5.0,5.0,3.11,4.0,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
15.8,75.0,4.0,3.0,4.0,5.0,5.35,yes,yes,long biên,hà nội,322549.0,59.8,13.0,0.22,5.394
5.5,30.3,3.0,3.0,4.0,3.0,4.0,yes,yes,hai bà trưng,hà nội,303586.0,10.3,15.0,1.46,29.474
4.5,60.0,3.0,4.0,3.0,12.0,4.0,yes,yes,dĩ an,bình dương,403760.0,60.1,7.0,0.12,6.718
12.6,40.0,5.0,6.0,6.0,6.0,5.0,yes,yes,đống đa,hà nội,371606.0,10.0,17.0,1.7,37.161
3.49,63.0,4.0,3.0,3.0,3.0,4.0,yes,yes,chương mỹ,hà nội,337326.0,237.4,30.0,0.13,1.421
8.95,50.0,5.0,6.0,4.0,5.0,4.0,yes,yes,bình thạnh,hồ chí minh,499164.0,20.8,15.0,0.72,23.998
5.3,33.2,4.0,3.0,4.0,2.4,4.0,yes,yes,thanh trì,hà nội,275745.0,63.5,16.0,0.25,4.342
4.45,33.0,3.0,3.0,3.0,3.5,3.0,yes,yes,gò vấp,hồ chí minh,676899.0,19.7,12.0,0.61,34.360
13.3,73.0,7.0,7.0,5.0,6.0,6.0,yes,yes,tân bình,hồ chí minh,474792.0,22.4,15.0,0.67,21.196
6.6,30.0,3.0,4.0,5.0,2.0,4.0,yes,yes,cầu giấy,hà nội,292536.0,12.4,8.0,0.65,23.516
4.4,55.0,2.0,2.0,1.0,6.0,5.0,yes,yes,tân phú,hồ chí minh,485348.0,16.1,11.0,0.68,30.146
21.5,58.0,6.0,6.0,7.0,6.0,5.0,yes,yes,tây hồ,hà nội,160495.0,24.4,8.0,0.33,6.578
7.9,43.6,2.0,2.0,2.0,6.0,3.0,yes,yes,quận 4,hồ chí minh,175329.0,4.2,10.0,2.38,41.745
3.55,100.0,4.0,4.0,2.0,5.5,5.0,yes,no,liên chiểu,đà nẵng,166832.0,80.9,5.0,0.06,2.060
