Price,Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,LegalStatus,Furnishing,CommuneDensity,CommuneCount
2.39,61.0,4.0,5.0,3.0,5.0,4.0,1,1,1.3,10.0
19.0,61.2,1.0,1.0,1.0,1.5,5.0,1,1,1.46,15.0
8.2,34.0,5.0,5.0,4.0,3.0,5.0,1,1,1.3,10.0
8.0,54.0,4.0,5.0,4.0,7.0,4.1,1,1,0.19,10.0
5.6,56.0,3.0,3.0,2.0,4.0,4.0,1,1,0.21,11.0
6.7,45.0,3.0,4.0,5.0,3.0,4.0,1,1,0.22,13.0
8.0,60.0,4.0,4.0,4.0,10.0,4.0,1,1,0.35,14.0
8.9,60.0,5.0,3.0,4.0,3.5,4.0,1,1,0.61,12.0
6.0,33.0,4.0,5.0,5.0,3.11,4.0,1,1,0.22,13.0
15.8,75.0,4.0,3.0,4.0,5.0,5.35,1,1,0.22,13.0
5.5,30.3,3.0,3.0,4.0,3.0,4.0,1,1,1.46,15.0
4.5,60.0,3.0,4.0,3.0,12.0,4.0,1,1,0.12,7.0
12.6,40.0,5.0,6.0,6.0,6.0,5.0,1,1,1.7,17.0
3.49,63.0,4.0,3.0,3.0,3.0,4.0,1,1,0.13,30.0
8.95,50.0,5.0,6.0,4.0,5.0,4.0,1,1,0.72,15.0
5.3,33.2,4.0,3.0,4.0,2.4,4.0,1,1,0.25,16.0
4.45,33.0,3.0,3.0,3.0,3.5,3.0,1,1,0.61,12.0
13.3,73.0,7.0,7.0,5.0,6.0,6.0,1,1,0.67,15.0
6.6,30.0,3.0,4.0,5.0,2.0,4.0,1,1,0.65,8.0
4.4,55.0,2.0,2.0,1.0,6.0,5.0,1,1,0.68,11.0
21.5,58.0,6.0,6.0,7.0,6.0,5.0,1,1,0.33,8.0
7.9,43.6,2.0,2.0,2.0,6.0,3.0,1,1,2.38,10.0
3.55,100.0,4.0,4.0,2.0,5.5,5.0,1,0,0.06,5.0
5.3,33.2,4.0,3.0,4.0,2.4,4.0,1,1,0.25,16.0
8.95,50.0,5.0,6.0,4.0,5.0,4.0,1,1,0.72,15.0
7.2,40.0,3.0,4.0,4.0,5.0,4.0,1,1,0.61,12.0
6.5,52.8,1.0,1.0,1.0,7.0,4.0,1,1,0.16,34.0
11.5,48.0,4.0,3.0,4.0,3.0,3.4,1,1,1.7,17.0
4.55,100.0,3.0,2.0,2.0,7.5,5.0,1,1,0.1,4.0
5.79,44.6,3.0,3.0,2.0,3.5,4.0,1,1,0.28,10.0
20.0,80.0,4.0,3.0,4.0,8.0,5.3,1,1,0.13,24.0
8.95,46.0,4.0,5.0,6.0,2.8,6.2,1,1,0.22,13.0
9.0,60.0,4.0,3.0,3.0,6.0,4.8,1,1,0.22,13.0
5.85,31.0,3.0,3.0,5.0,6.0,4.0,1,0,0.35,14.0
7.5,40.0,5.0,4.0,5.0,8.0,3.9,1,0,0.25,16.0
8.45,83.0,2.0,1.0,1.0,6.0,4.0,1,0,0.67,15.0
5.8,76.4,2.0,1.0,1.0,2.0,6.0,0,1,0.31,10.0
11.8,48.0,4.0,5.0,5.0,5.0,4.0,1,1,2.24,11.0
